cause,cause.sub
9882,Other external causes of injury
9883,Other external causes of injury
9884,Other external causes of injury
9885,Other external causes of injury
9886,Other external causes of injury
9887,Other external causes of injury
9888,Other external causes of injury
9889,Other external causes of injury
9890,Other external causes of injury
9909,Other external causes of injury
9912,Other external causes of injury
9919,Other external causes of injury
9930,Other external causes of injury
9950,Other external causes of injury
9960,Other external causes of injury
9970,Other external causes of injury
9979,Other external causes of injury
9990,Other external causes of injury
W200,Other external causes of injury
W210,Other external causes of injury
W220,Other external causes of injury
W230,Other external causes of injury
W240,Other external causes of injury
W250,Other external causes of injury
W260,Other external causes of injury
W270,Other external causes of injury
W280,Other external causes of injury
W290,Other external causes of injury
W300,Other external causes of injury
W310,Other external causes of injury
W320,Other external causes of injury
W330,Other external causes of injury
W340,Other external causes of injury
W350,Other external causes of injury
W360,Other external causes of injury
W370,Other external causes of injury
W380,Other external causes of injury
W390,Other external causes of injury
W400,Other external causes of injury
W410,Other external causes of injury
W420,Other external causes of injury
W440,Other external causes of injury
W450,Other external causes of injury
W460,Other external causes of injury
W490,Other external causes of injury
W500,Other external causes of injury
W510,Other external causes of injury
W520,Other external causes of injury
W530,Other external causes of injury
W540,Other external causes of injury
W550,Other external causes of injury
W560,Other external causes of injury
W570,Other external causes of injury
W580,Other external causes of injury
W590,Other external causes of injury
W600,Other external causes of injury
W640,Other external causes of injury
W750,Other external causes of injury
W760,Other external causes of injury
W770,Other external causes of injury
W780,Other external causes of injury
W790,Other external causes of injury
W800,Other external causes of injury
W810,Other external causes of injury
W830,Other external causes of injury
W840,Other external causes of injury
W850,Other external causes of injury
W860,Other external causes of injury
W870,Other external causes of injury
W890,Other external causes of injury
W920,Other external causes of injury
W930,Other external causes of injury
W940,Other external causes of injury
W990,Other external causes of injury
X000,Other external causes of injury
X010,Other external causes of injury
X020,Other external causes of injury
X030,Other external causes of injury
X040,Other external causes of injury
X050,Other external causes of injury
X060,Other external causes of injury
X080,Other external causes of injury
X090,Other external causes of injury
X100,Other external causes of injury
X110,Other external causes of injury
X120,Other external causes of injury
X130,Other external causes of injury
X140,Other external causes of injury
X150,Other external causes of injury
X160,Other external causes of injury
X170,Other external causes of injury
X180,Other external causes of injury
X190,Other external causes of injury
X200,Other external causes of injury
X210,Other external causes of injury
X220,Other external causes of injury
X230,Other external causes of injury
X240,Other external causes of injury
X250,Other external causes of injury
X260,Other external causes of injury
X280,Other external causes of injury
X290,Other external causes of injury
X300,Other external causes of injury
X310,Other external causes of injury
X320,Other external causes of injury
X330,Other external causes of injury
X340,Other external causes of injury
X350,Other external causes of injury
X360,Other external causes of injury
X370,Other external causes of injury
X380,Other external causes of injury
X390,Other external causes of injury
X400,Other external causes of injury
X410,Other external causes of injury
X420,Other external causes of injury
X430,Other external causes of injury
X440,Other external causes of injury
X450,Other external causes of injury
X460,Other external causes of injury
X470,Other external causes of injury
X480,Other external causes of injury
X490,Other external causes of injury
X500,Other external causes of injury
X510,Other external causes of injury
X520,Other external causes of injury
X530,Other external causes of injury
X540,Other external causes of injury
X570,Other external causes of injury
X580,Other external causes of injury
X590,Other external causes of injury
X599,Other external causes of injury
Y100,Other external causes of injury
Y110,Other external causes of injury
Y120,Other external causes of injury
Y130,Other external causes of injury
Y140,Other external causes of injury
Y150,Other external causes of injury
Y160,Other external causes of injury
Y170,Other external causes of injury
Y180,Other external causes of injury
Y190,Other external causes of injury
Y200,Other external causes of injury
Y210,Other external causes of injury
Y220,Other external causes of injury
Y230,Other external causes of injury
Y240,Other external causes of injury
Y250,Other external causes of injury
Y260,Other external causes of injury
Y270,Other external causes of injury
Y280,Other external causes of injury
Y290,Other external causes of injury
