Id,Id2,Geography,Total:,Urban:,Urban: - Inside urbanized areas,Urban: - Inside urban clusters,Rural,Not defined for this file
0500000US05143,5143,"Washington County, Arkansas",203065,151294,148081,3213,51771,0
0500000US05145,5145,"White County, Arkansas",77076,35210,0,35210,41866,0
0500000US05147,5147,"Woodruff County, Arkansas",7260,0,0,0,7260,0
0500000US05149,5149,"Yell County, Arkansas",22185,4631,0,4631,17554,0
0500000US06001,6001,"Alameda County, California",1510271,1504402,1504402,0,5869,0
0500000US06003,6003,"Alpine County, California",1175,0,0,0,1175,0
0500000US06005,6005,"Amador County, California",38091,15075,0,15075,23016,0
0500000US06007,6007,"Butte County, California",220000,178416,98176,80240,41584,0
0500000US06009,6009,"Calaveras County, California",45578,11208,0,11208,34370,0
0500000US06011,6011,"Colusa County, California",21419,14624,0,14624,6795,0
0500000US06013,6013,"Contra Costa County, California",1049025,1040709,1026665,14044,8316,0
0500000US06015,6015,"Del Norte County, California",28610,18976,0,18976,9634,0
0500000US06017,6017,"El Dorado County, California",181058,118231,61422,56809,62827,0
0500000US06019,6019,"Fresno County, California",930450,829913,654628,175285,100537,0
0500000US06021,6021,"Glenn County, California",28122,16628,0,16628,11494,0
0500000US06023,6023,"Humboldt County, California",134623,94561,0,94561,40062,0
0500000US06025,6025,"Imperial County, California",174528,144129,108683,35446,30399,0
0500000US06027,6027,"Inyo County, California",18546,9935,0,9935,8611,0
0500000US06029,6029,"Kern County, California",839631,753938,578366,175572,85693,0
0500000US06031,6031,"Kings County, California",152982,136381,87941,48440,16601,0
0500000US06033,6033,"Lake County, California",64665,43257,0,43257,21408,0
0500000US06035,6035,"Lassen County, California",34895,10285,0,10285,24610,0
0500000US06037,6037,"Los Angeles County, California",9818605,9759181,9743650,15531,59424,0
0500000US06039,6039,"Madera County, California",150865,101193,78413,22780,49672,0
0500000US06041,6041,"Marin County, California",252409,235952,235952,0,16457,0
0500000US06043,6043,"Mariposa County, California",18251,0,0,0,18251,0
0500000US06045,6045,"Mendocino County, California",87841,48110,0,48110,39731,0
0500000US06047,6047,"Merced County, California",255793,219283,161757,57526,36510,0
0500000US06049,6049,"Modoc County, California",9686,2910,0,2910,6776,0
0500000US06051,6051,"Mono County, California",14202,7693,0,7693,6509,0
0500000US06053,6053,"Monterey County, California",415057,374315,306096,68219,40742,0
0500000US06055,6055,"Napa County, California",136484,118194,103379,14815,18290,0
0500000US06057,6057,"Nevada County, California",98764,57150,0,57150,41614,0
0500000US06059,6059,"Orange County, California",3010232,3005917,3005917,0,4315,0
0500000US06061,6061,"Placer County, California",348432,300393,254704,45689,48039,0
0500000US06063,6063,"Plumas County, California",20007,5197,0,5197,14810,0
0500000US06065,6065,"Riverside County, California",2189641,2088429,2022683,65746,101212,0
0500000US06067,6067,"Sacramento County, California",1418788,1389531,1359243,30288,29257,0
