year,fips,Median_Household_Income_in_Dollars,All_Ages_in_Poverty_Percent
2012,48307,"$36,483",21.3
2011,48307,"$35,775",22.7
2010,48307,"$32,469",22.2
2009,48307,"$35,033",18.6
2008,48307,"$32,743",22.7
2007,48307,"$31,681",22.8
2006,48307,"$30,445",23.3
2005,48307,"$28,944",23.1
2004,48307,"$29,400",20.2
2003,48307,"$28,362",20.7
2002,48307,"$27,034",20.7
2001,48307,"$26,718",22.1
2000,48307,"$27,107",22
1999,48307,"$25,496",21.7
1998,48307,"$23,947",22.9
1997,48307,"$23,532",22.7
1996,48307,NA,NA
1995,48307,"$21,346",25.6
1993,48307,"$19,338",26.1
1989,48307,"$15,442",25.1
2015,48309,"$46,264",19.9
2014,48309,"$43,488",19.7
2013,48309,"$41,066",20.9
2012,48309,"$40,855",19.8
2011,48309,"$40,563",23.7
2010,48309,"$39,620",21.3
2009,48309,"$38,963",22.8
2008,48309,"$40,223",20.1
2007,48309,"$40,459",19.1
2006,48309,"$36,773",19.2
2005,48309,"$36,171",18.9
2004,48309,"$35,225",18.3
2003,48309,"$34,202",18
2002,48309,"$33,447",17.1
2001,48309,"$33,402",16.9
2000,48309,"$34,562",16.1
1999,48309,"$33,342",16.2
1998,48309,"$33,258",17
1997,48309,"$31,877",18.3
1996,48309,NA,NA
1995,48309,"$30,273",19.8
1993,48309,"$26,512",21.3
1989,48309,"$22,571",19.2
2015,48311,"$60,709",10
2014,48311,"$61,571",9.2
2013,48311,"$56,686",8.7
2012,48311,"$49,866",11.3
2011,48311,"$46,528",10.4
2010,48311,"$44,541",11.9
2009,48311,"$40,809",13.2
2008,48311,"$40,033",13.6
2007,48311,"$37,661",13.9
2006,48311,"$36,843",15.7
2005,48311,"$36,046",14.5
2004,48311,"$35,041",11.2
2003,48311,"$34,651",13.4
2002,48311,"$34,103",10.1
2001,48311,"$35,004",11.5
2000,48311,"$34,902",12.9
1999,48311,"$32,828",14.3
1998,48311,"$35,078",14.8
1997,48311,"$34,300",13.9
1996,48311,NA,NA
1995,48311,"$30,048",15.6
1993,48311,"$29,832",4.3
1989,48311,"$27,022",11.9
2015,48313,"$40,857",19.2
2014,48313,"$39,030",21.5
2013,48313,"$37,460",22.9
2012,48313,"$36,579",23.9
2011,48313,"$35,218",23.7
2010,48313,"$35,189",23.3
2009,48313,"$32,873",25.9
2008,48313,"$36,650",21.8
2007,48313,"$34,285",21.2
2006,48313,"$34,889",20.5
2005,48313,"$31,411",21.6
2004,48313,"$29,613",20.2
2003,48313,"$29,401",19.3
2002,48313,"$29,131",23.5
2001,48313,"$29,136",23.5
2000,48313,"$29,721",22.6
1999,48313,"$28,187",19.7
1998,48313,"$27,759",23.4
1997,48313,"$25,564",27.4
1996,48313,NA,NA
1995,48313,"$23,102",25.7
1993,48313,"$21,728",28.1
1989,48313,"$19,731",28.3
2015,48315,"$35,152",23.4
2014,48315,"$34,452",23.1
2013,48315,"$36,090",24.4
2012,48315,"$33,330",24
2011,48315,"$31,922",22.1
2010,48315,"$32,173",23.7
2009,48315,"$31,210",24.6
2008,48315,"$31,510",21.6
2007,48315,"$31,043",25
2006,48315,"$28,401",26.1
2005,48315,"$27,683",22.8
2004,48315,"$25,975",21.6
2003,48315,"$24,467",21.4
2002,48315,"$23,967",24.7
2001,48315,"$24,541",24
2000,48315,"$25,423",22.9
1999,48315,"$24,199",20.4
1998,48315,"$22,539",22.6
1997,48315,"$21,444",27.7
1996,48315,NA,NA
1995,48315,"$20,272",27.7
1993,48315,"$17,666",27.1
1989,48315,"$17,029",30.1
2015,48317,"$60,815",11.4
2014,48317,"$61,896",12.5
2013,48317,"$50,004",13
2012,48317,"$47,358",14.5
2011,48317,"$46,680",16.4
2010,48317,"$44,863",16.2
2009,48317,"$40,933",15.1
2008,48317,"$43,492",15.9
2007,48317,"$40,927",16.9
2006,48317,"$33,832",17.7
2005,48317,"$37,009",19.3
2004,48317,"$35,690",17.5
2003,48317,"$33,629",17.2
2002,48317,"$30,767",18.6
2001,48317,"$31,940",18.2
2000,48317,"$31,990",18.6
1999,48317,"$30,957",17.6
1998,48317,"$28,909",17.3
1997,48317,"$29,194",20
1996,48317,NA,NA
1995,48317,"$25,747",22.1
1993,48317,"$26,472",21.7
1989,48317,"$22,240",18.2
2015,48319,"$45,340",13.8
2014,48319,"$42,820",14.8
2013,48319,"$42,087",15.2
2012,48319,"$42,128",15.6
2011,48319,"$39,080",15
2010,48319,"$38,802",16.2
2009,48319,"$36,965",16.5
2008,48319,"$39,217",13.9
2007,48319,"$37,846",14.5
2006,48319,"$36,511",15.6
2005,48319,"$34,754",13.8
2004,48319,"$33,929",12.3
2003,48319,"$32,269",14.2
2002,48319,"$30,851",15.6
2001,48319,"$29,795",17.8
2000,48319,"$30,418",17.5
1999,48319,"$28,560",15.9
1998,48319,"$22,701",19.8
1997,48319,"$22,164",19.9
1996,48319,NA,NA
1995,48319,"$19,481",22.1
1993,48319,"$19,279",21.6
1989,48319,"$17,297",21.8
2015,48321,"$45,073",20.5
2014,48321,"$41,587",22.1
2013,48321,"$42,036",20.4
2012,48321,"$40,860",19.7
2011,48321,"$40,778",20.4
2010,48321,"$39,874",19.9
2009,48321,"$38,938",21.2
2008,48321,"$40,578",18
2007,48321,"$38,680",22.5
2006,48321,"$36,124",23.4
2005,48321,"$33,975",21.3
2004,48321,"$32,573",18.3
2003,48321,"$31,972",18.1
2002,48321,"$31,740",17.7
2001,48321,"$32,475",18
2000,48321,"$33,639",16.1
1999,48321,"$31,802",16.7
1998,48321,"$32,788",17.6
1997,48321,"$31,446",18.1
1996,48321,NA,NA
1995,48321,"$29,970",19.6
1993,48321,"$28,138",20.9
1989,48321,"$26,282",18.9
2015,48323,"$34,687",23.9
2014,48323,"$32,248",26.5
2013,48323,"$32,073",24.4
2012,48323,"$31,313",28.4
2011,48323,"$28,502",31.2
2010,48323,"$27,710",39.9
2009,48323,"$27,446",29.8
2008,48323,"$29,787",26.5
2007,48323,"$27,652",29.8
2006,48323,"$25,542",36.6
2005,48323,"$24,736",29.5
2004,48323,"$24,786",27.9
2003,48323,"$23,897",29.8
2002,48323,"$22,312",30.1
2001,48323,"$21,751",31.8
2000,48323,"$22,432",32.4
1999,48323,"$20,857",35.9
1998,48323,"$17,857",38.9
1997,48323,"$16,626",39.7
1996,48323,NA,NA
1995,48323,"$17,150",46.4
1993,48323,"$14,223",44.8
1989,48323,"$13,102",48
2015,48325,"$52,831",14.8
2014,48325,"$53,440",14.3
2013,48325,"$53,714",18
2012,48325,"$51,345",17.3
2011,48325,"$47,191",17.6
2010,48325,"$47,099",17.5
2009,48325,"$45,278",17.6
2008,48325,"$44,632",16.8
2007,48325,"$44,606",14.8
2006,48325,"$43,825",15.5
2005,48325,"$39,142",17.4
2004,48325,"$37,657",15.9
2003,48325,"$36,111",16.2
2002,48325,"$35,105",16.1
2001,48325,"$34,965",16.2
2000,48325,"$35,723",16.5
1999,48325,"$33,733",16
1998,48325,"$31,149",17.9
1997,48325,"$29,605",19.7
1996,48325,NA,NA
1995,48325,"$29,125",20.7
1993,48325,"$25,710",20.7
1989,48325,"$21,177",22
2015,48327,"$34,308",20.8
2014,48327,"$32,580",22.7
2013,48327,"$31,390",23.7
2012,48327,"$31,608",24.9
2011,48327,"$30,349",23.4
2010,48327,"$30,277",24
2009,48327,"$29,710",25.6
2008,48327,"$31,211",20.8
2007,48327,"$32,749",21.5
2006,48327,"$27,327",23
2005,48327,"$27,013",26
2004,48327,"$26,609",21
2003,48327,"$25,782",21.4
2002,48327,"$24,876",23.2
2001,48327,"$24,454",25.1
2000,48327,"$25,098",24.2
1999,48327,"$23,479",24.9
1998,48327,"$19,696",25.8
1997,48327,"$19,458",28.1
1996,48327,NA,NA
1995,48327,"$18,945",28.6
1993,48327,"$16,533",27
1989,48327,"$14,465",28.5
2015,48329,"$79,829",8.9
2014,48329,"$74,811",9.9
2013,48329,"$71,151",10.5
2012,48329,"$61,268",9.8
2011,48329,"$54,996",12.8
2010,48329,"$53,482",14.4
2009,48329,"$54,949",12.5
2008,48329,"$56,320",10.1
2007,48329,"$51,280",14.4
2006,48329,"$45,682",14.4
2005,48329,"$42,132",14.9
2004,48329,"$42,657",14.6
2003,48329,"$40,373",15.4
2002,48329,"$39,548",14.5
2001,48329,"$39,889",14.2
2000,48329,"$39,205",14.3
1999,48329,"$37,738",14.8
1998,48329,"$39,427",14.1
1997,48329,"$38,529",14.3
1996,48329,NA,NA
1995,48329,"$37,355",15.4
1993,48329,"$34,525",15.5
1989,48329,"$30,068",12.3
2015,48331,"$46,433",16.9
2014,48331,"$41,849",18.3
2013,48331,"$40,120",17.4
2012,48331,"$38,715",22.1
2011,48331,"$38,244",20
2010,48331,"$36,799",19.8
2009,48331,"$37,245",18
2008,48331,"$41,290",16.5
2007,48331,"$39,427",17.3
2006,48331,"$34,306",19
2005,48331,"$34,372",18.3
2004,48331,"$33,461",16.6
2003,48331,"$32,381",16.7
2002,48331,"$32,380",16.9
2001,48331,"$32,856",16.6
2000,48331,"$33,864",16.2
1999,48331,"$31,569",16.1
1998,48331,"$28,011",18.4
1997,48331,"$26,537",20.2
1996,48331,NA,NA
1995,48331,"$24,234",21.5
1993,48331,"$22,804",21.7
1989,48331,"$19,938",22.2
2015,48333,"$40,958",16.6
2014,48333,"$38,564",17.1
2013,48333,"$40,318",17.2
2012,48333,"$39,396",20.1
2011,48333,"$39,185",17.9
2010,48333,"$36,108",17.2
2009,48333,"$34,557",19.4
2008,48333,"$35,353",18.3
2007,48333,"$35,725",17.2
2006,48333,"$34,088",18.1
2005,48333,"$32,984",14.7
2004,48333,"$30,876",16
2003,48333,"$29,352",16.3
2002,48333,"$28,942",18.4
2001,48333,"$29,447",18.7
2000,48333,"$30,377",18.6
1999,48333,"$28,794",16.7
1998,48333,"$24,486",17.7
1997,48333,"$24,013",19.4
1996,48333,NA,NA
1995,48333,"$21,811",19.9
1993,48333,"$20,756",19.6
1989,48333,"$17,913",18.9
2015,48335,"$41,977",19.7
2014,48335,"$41,363",20.7
2013,48335,"$47,677",22.3
2012,48335,"$37,395",24
2011,48335,"$36,724",23.1
2010,48335,"$34,877",23.3
2009,48335,"$34,461",22.6
2008,48335,"$35,837",26.2
2007,48335,"$32,554",24.6
2006,48335,"$30,264",25.9
2005,48335,"$28,237",25.7
2004,48335,"$26,609",23
2003,48335,"$25,700",22.2
2002,48335,"$24,713",27.6
2001,48335,"$25,416",26.8
2000,48335,"$26,078",26
1999,48335,"$25,460",22.1
1998,48335,"$25,716",23.6
1997,48335,"$24,925",23.6
1996,48335,NA,NA
1995,48335,"$22,505",24.1
1993,48335,"$21,245",23.1
1989,48335,"$18,732",22.7
2015,48337,"$49,653",15.2
2014,48337,"$48,996",14.8
2013,48337,"$41,516",15.9
2012,48337,"$45,996",17.3
2011,48337,"$44,768",15.6
2010,48337,"$42,415",16.1
2009,48337,"$42,246",15.4
2008,48337,"$41,652",14.2
2007,48337,"$40,072",14.9
2006,48337,"$37,756",14.8
2005,48337,"$35,383",14.1
2004,48337,"$33,981",13.6
2003,48337,"$32,458",14.7
2002,48337,"$31,475",15.4
2001,48337,"$31,285",15.4
2000,48337,"$31,724",15.7
1999,48337,"$29,972",15.2
1998,48337,"$27,653",15.9
1997,48337,"$26,117",16.9
1996,48337,NA,NA
1995,48337,"$24,290",18
1993,48337,"$21,975",17.5
1989,48337,"$19,015",15.3
2015,48339,"$72,428",10.1
2014,48339,"$70,929",10.9
2013,48339,"$69,317",11.8
2012,48339,"$65,874",12.5
2011,48339,"$61,996",13.7
2010,48339,"$65,483",11.5
2009,48339,"$65,130",11.2
2008,48339,"$65,801",9.4
2007,48339,"$63,550",9.8
2006,48339,"$60,394",11.2
2005,48339,"$59,210",11
2004,48339,"$55,452",10.2
2003,48339,"$53,392",10.4
2002,48339,"$52,205",10
2001,48339,"$51,316",9.8
2000,48339,"$50,748",9.4
1999,48339,"$48,821",9.5
1998,48339,"$47,857",9.2
1997,48339,"$46,292",10.3
1996,48339,NA,NA
1995,48339,"$44,744",11.5
1993,48339,"$37,496",12.8
1989,48339,"$31,540",10.1
2015,48341,"$49,345",14.4
2014,48341,"$42,839",14.6
2013,48341,"$46,991",14.9
2012,48341,"$47,445",13.9
2011,48341,"$45,795",15.9
2010,48341,"$44,680",15
2009,48341,"$41,820",11.6
2008,48341,"$43,377",13.6
2007,48341,"$43,161",12.5
2006,48341,"$39,106",14.5
2005,48341,"$37,412",14
2004,48341,"$34,843",13.9
2003,48341,"$34,775",13.8
2002,48341,"$34,471",12.7
2001,48341,"$35,771",12.8
2000,48341,"$36,334",13.5
1999,48341,"$34,743",13.6
1998,48341,"$35,932",12.9
1997,48341,"$35,372",12.7
1996,48341,NA,NA
1995,48341,"$32,933",11.8
1993,48341,"$31,538",12.5
1989,48341,"$28,786",11.4
2015,48343,"$37,236",19.5
2014,48343,"$37,954",18.6
2013,48343,"$36,366",21
2012,48343,"$35,294",22.7
2011,48343,"$35,972",20.7
2010,48343,"$34,451",19.2
2009,48343,"$35,257",18.8
2008,48343,"$36,929",17.6
2007,48343,"$35,288",17.5
2006,48343,"$35,018",18.2
2005,48343,"$31,954",20.5
2004,48343,"$32,269",16.4
2003,48343,"$30,701",17.2
2002,48343,"$29,874",16.3
2001,48343,"$29,586",16.9
2000,48343,"$29,919",17.6
1999,48343,"$28,401",17.8
1998,48343,"$28,408",18.6
1997,48343,"$27,513",18.6
1996,48343,NA,NA
1995,48343,"$25,208",19.2
1993,48343,"$22,072",20.6
1989,48343,"$19,265",20.1
2015,48345,"$40,575",17
2014,48345,"$37,936",17.5
2013,48345,"$37,159",19.6
2012,48345,"$36,772",17.5
2011,48345,"$34,852",17.6
2010,48345,"$35,672",16.7
2009,48345,"$33,357",20.7
2008,48345,"$34,551",19
2007,48345,"$32,814",16
2006,48345,"$32,042",17.6
2005,48345,"$29,752",19
2004,48345,"$28,011",14.7
2003,48345,"$27,425",15.7
2002,48345,"$26,633",16.9
2001,48345,"$28,065",17.2
2000,48345,"$27,796",19
1999,48345,"$26,278",18
1998,48345,"$22,474",17.7
1997,48345,"$22,391",20.1
1996,48345,NA,NA
1995,48345,"$19,263",21.2
1993,48345,"$21,160",17
1989,48345,"$17,707",19.9
2015,48347,"$39,556",24.5
2014,48347,"$38,895",22.7
2013,48347,"$36,775",26.4
2012,48347,"$35,183",24.3
2011,48347,"$38,046",24.2
2010,48347,"$35,854",25.5
2009,48347,"$32,648",25.8
2008,48347,"$36,438",21.3
2007,48347,"$32,774",21.1
2006,48347,"$31,669",23.8
2005,48347,"$31,057",20.7
2004,48347,"$29,952",20.1
2003,48347,"$29,223",20
2002,48347,"$28,813",19.8
2001,48347,"$28,736",20.3
2000,48347,"$29,513",20
1999,48347,"$28,456",19.1
1998,48347,"$29,412",19.6
1997,48347,"$27,741",20.5
1996,48347,NA,NA
1995,48347,"$25,408",21.4
1993,48347,"$23,786",21.8
1989,48347,"$21,112",21.4
2015,48349,"$41,047",19.6
2014,48349,"$43,091",20.3
2013,48349,"$38,423",23.3
2012,48349,"$40,624",20.3
2011,48349,"$38,057",19.7
2010,48349,"$37,864",21.5
2009,48349,"$38,871",18.3
2008,48349,"$40,730",18.5
2007,48349,"$37,657",18.5
2006,48349,"$36,334",17.9
2005,48349,"$34,508",20.1
2004,48349,"$32,262",17.1
2003,48349,"$31,410",17.3
2002,48349,"$30,740",17.4
2001,48349,"$31,009",17.4
2000,48349,"$31,715",17.2
1999,48349,"$30,148",16.9
1998,48349,"$29,584",17.9
1997,48349,"$28,217",19
1996,48349,NA,NA
1995,48349,"$26,122",20
1993,48349,"$23,729",21.1
1989,48349,"$20,022",20.2
2015,48351,"$40,345",21.2
2014,48351,"$39,135",20.2
2013,48351,"$38,544",19.4
2012,48351,"$35,830",21
2011,48351,"$36,492",20.4
2010,48351,"$36,429",23.3
2009,48351,"$37,319",20.4
2008,48351,"$35,524",22.3
2007,48351,"$34,162",20.4
2006,48351,"$30,570",22.9
2005,48351,"$32,319",22.6
2004,48351,"$28,242",21.1
2003,48351,"$28,289",20.4
2002,48351,"$27,853",21.5
2001,48351,"$27,762",21.9
2000,48351,"$28,574",20.8
1999,48351,"$27,673",18.7
1998,48351,"$27,239",20.3
1997,48351,"$25,358",22.8
1996,48351,NA,NA
1995,48351,"$24,147",22.1
1993,48351,"$20,030",23.6
1989,48351,"$18,675",25.9
2015,48353,"$40,052",20
2014,48353,"$38,742",17.9
2013,48353,"$35,846",21.5
2012,48353,"$34,941",20.9
2011,48353,"$34,920",21.6
2010,48353,"$33,981",20.1
2009,48353,"$34,149",17.6
2008,48353,"$36,026",20.7
2007,48353,"$32,218",21.8
2006,48353,"$30,282",23.3
2005,48353,"$30,872",21.8
2004,48353,"$28,789",19.9
2003,48353,"$27,798",20.1
2002,48353,"$27,077",20.3
2001,48353,"$27,026",20.5
2000,48353,"$27,476",21.3
1999,48353,"$26,549",21.5
1998,48353,"$26,950",21.1
1997,48353,"$26,369",21.8
1996,48353,NA,NA
1995,48353,"$24,495",22.1
1993,48353,"$22,987",21.7
1989,48353,"$20,119",20.7
2015,48355,"$50,188",19.9
2014,48355,"$51,222",16.8
2013,48355,"$48,324",18.2
2012,48355,"$48,066",17.5
2011,48355,"$43,470",20
2010,48355,"$41,899",20
2009,48355,"$41,009",19.9
2008,48355,"$45,371",17.4
2007,48355,"$41,140",19.1
2006,48355,"$37,477",21.8
2005,48355,"$38,740",19.9
2004,48355,"$36,262",19.4
2003,48355,"$35,240",19.7
2002,48355,"$34,335",19.2
2001,48355,"$34,472",19.1
2000,48355,"$34,802",18.9
1999,48355,"$32,074",19.6
1998,48355,"$30,387",20.1
1997,48355,"$29,198",21.5
1996,48355,NA,NA
1995,48355,"$27,637",22.8
1993,48355,"$28,707",22.7
1989,48355,"$24,163",21.1
2015,48357,"$67,136",8.8
2014,48357,"$61,773",10.7
2013,48357,"$60,650",10.6
2012,48357,"$55,700",11.3
2011,48357,"$52,866",14.3
2010,48357,"$50,979",12.7
2009,48357,"$55,032",12.1
2008,48357,"$51,680",12
2007,48357,"$50,838",12.7
2006,48357,"$44,517",12.3
2005,48357,"$41,835",13.3
2004,48357,"$41,381",12.2
2003,48357,"$39,688",11.9
2002,48357,"$37,751",12
2001,48357,"$40,527",12.1
2000,48357,"$40,358",12.5
1999,48357,"$37,901",13.3
1998,48357,"$38,394",12.5
1997,48357,"$36,685",12.6
1996,48357,NA,NA
1995,48357,"$32,908",13.1
1993,48357,"$31,672",13
1989,48357,"$27,227",9.7
2015,48359,"$53,797",13.4
2014,48359,"$54,458",15.6
2013,48359,"$52,431",14.2
2012,48359,"$49,048",14
2011,48359,"$46,597",14.6
2010,48359,"$43,739",13.4
2009,48359,"$40,731",13.6
2008,48359,"$44,765",13.5
2007,48359,"$51,101",22.1
2006,48359,"$37,092",15.8
2005,48359,"$36,521",13.9
2004,48359,"$34,052",12.4
2003,48359,"$33,428",13.3
2002,48359,"$33,576",12.7
2001,48359,"$35,818",14
2000,48359,"$36,856",13.9
1999,48359,"$35,351",13.5
1998,48359,"$36,973",16.2
1997,48359,"$35,241",13.3
1996,48359,NA,NA
1995,48359,"$32,717",12.2
1993,48359,"$33,135",10.6
1989,48359,"$30,935",9.4
2015,48361,"$51,156",16.1
2014,48361,"$48,834",16
2013,48361,"$51,340",15.1
2012,48361,"$49,238",16.8
2011,48361,"$44,758",16.1
2010,48361,"$45,264",15.1
2009,48361,"$45,532",15.6
2008,48361,"$48,568",13.6
2007,48361,"$46,563",13.5
2006,48361,"$41,959",15.8
2005,48361,"$38,856",15.7
2004,48361,"$38,789",15
2003,48361,"$38,758",14.5
2002,48361,"$37,729",14
2001,48361,"$37,460",13.6
2000,48361,"$38,024",14
1999,48361,"$36,365",14.4
1998,48361,"$36,985",14.5
1997,48361,"$35,712",15.2
1996,48361,NA,NA
1995,48361,"$33,974",14.9
1993,48361,"$30,524",15.6
1989,48361,"$26,216",13.5
2015,48363,"$42,932",18.6
2014,48363,"$40,862",18.6
2013,48363,"$39,660",17.6
2012,48363,"$40,817",19
2011,48363,"$34,574",20.8
2010,48363,"$39,595",16.8
2009,48363,"$40,141",17
2008,48363,"$41,162",14
2007,48363,"$37,034",15.9
2006,48363,"$35,377",16.6
2005,48363,"$34,580",16.7
2004,48363,"$33,068",16.1
2003,48363,"$32,243",16.3
2002,48363,"$31,435",16.4
2001,48363,"$31,572",16
2000,48363,"$31,911",15.8
1999,48363,"$29,798",15.6
1998,48363,"$28,018",16.7
1997,48363,"$27,083",18.8
1996,48363,NA,NA
1995,48363,"$24,785",20.5
1993,48363,"$23,697",20
1989,48363,"$20,735",17.5
2015,48365,"$50,057",15.1
2014,48365,"$48,822",15.5
2013,48365,"$49,792",13.3
2012,48365,"$50,916",13.9
2011,48365,"$45,212",15.9
2010,48365,"$48,621",13.8
2009,48365,"$46,456",13.2
2008,48365,"$42,917",13.9
2007,48365,"$42,324",13.7
2006,48365,"$38,804",14.2
2005,48365,"$36,640",15.8
2004,48365,"$36,697",14.2
2003,48365,"$34,351",14.6
2002,48365,"$33,209",14.3
2001,48365,"$33,221",14.3
2000,48365,"$33,389",15
1999,48365,"$31,659",15.2
1998,48365,"$32,016",15.9
1997,48365,"$30,124",16.4
1996,48365,NA,NA
1995,48365,"$27,384",17.5
1993,48365,"$25,781",18.2
1989,48365,"$23,611",16.4
2015,48367,"$67,545",9.4
2014,48367,"$67,655",9.9
2013,48367,"$61,199",11.8
2012,48367,"$63,720",10.8
2011,48367,"$63,584",10.7
2010,48367,"$57,092",12
2009,48367,"$62,049",9.9
2008,48367,"$61,151",10.3
2007,48367,"$59,851",8.6
2006,48367,"$53,885",9.1
2005,48367,"$53,170",9.5
2004,48367,"$49,392",10.3
2003,48367,"$47,406",10.9
2002,48367,"$46,627",10.5
2001,48367,"$46,061",10.1
2000,48367,"$46,638",8.6
1999,48367,"$44,137",9
1998,48367,"$42,528",8.8
1997,48367,"$40,492",9
1996,48367,NA,NA
1995,48367,"$37,578",10.4
1993,48367,"$33,679",12.5
1989,48367,"$30,330",10.3
2015,48369,"$46,827",14.5
2014,48369,"$41,813",14.6
2013,48369,"$41,784",14.9
2012,48369,"$44,256",14.4
2011,48369,"$39,195",16.9
2010,48369,"$38,619",14.9
2009,48369,"$36,665",16.9
2008,48369,"$40,346",14.2
2007,48369,"$35,360",15.3
2006,48369,"$32,126",16.1
2005,48369,"$32,416",15
2004,48369,"$31,657",13.4
2003,48369,"$31,306",14.5
2002,48369,"$30,933",14.3
2001,48369,"$33,066",15
2000,48369,"$33,099",16.2
1999,48369,"$31,613",16.4
1998,48369,"$31,194",17.2
1997,48369,"$29,764",16.3
1996,48369,NA,NA
1995,48369,"$26,035",18.7
1993,48369,"$27,125",19.6
1989,48369,"$26,478",22.2
2015,48371,"$45,839",18.1
2014,48371,"$44,817",17.8
2013,48371,"$43,766",18.1
2012,48371,"$42,378",19.3
2011,48371,"$42,984",19.8
2010,48371,"$39,118",22.1
2009,48371,"$37,535",19.7
2008,48371,"$37,283",20.5
2007,48371,"$34,797",21.8
2006,48371,"$32,528",22.2
2005,48371,"$30,806",23.5
2004,48371,"$29,264",20.9
2003,48371,"$28,357",21
2002,48371,"$27,494",23.4
2001,48371,"$27,931",23
2000,48371,"$28,374",23
1999,48371,"$26,915",21.7
1998,48371,"$27,209",24
1997,48371,"$27,309",25.2
1996,48371,NA,NA
1995,48371,"$25,882",28
1993,48371,"$24,078",27
1989,48371,"$21,425",23.7
2015,48373,"$42,746",17.2
2014,48373,"$41,401",18.5
2013,48373,"$39,833",18.3
2012,48373,"$40,254",17.8
2011,48373,"$37,665",20
2010,48373,"$38,747",19.6
2009,48373,"$36,467",22.6
2008,48373,"$36,930",15.5
2007,48373,"$37,152",17.5
2006,48373,"$33,971",22.8
2005,48373,"$32,971",19.1
2004,48373,"$36,368",16.5
2003,48373,"$34,975",16.8
2002,48373,"$33,740",15.3
2001,48373,"$32,394",15.4
2000,48373,"$33,083",15.8
1999,48373,"$31,816",17.6
1998,48373,"$29,789",15.5
1997,48373,"$27,404",17
1996,48373,NA,NA
1995,48373,"$26,675",18.3
1993,48373,"$21,805",20
1989,48373,"$18,510",20.7
2015,48375,"$40,353",22.4
2014,48375,"$38,224",21.5
2013,48375,"$37,366",22.1
2012,48375,"$35,754",23.4
2011,48375,"$35,690",22.8
2010,48375,"$35,323",24.5
2009,48375,"$35,563",23.1
2008,48375,"$36,988",22.5
2007,48375,"$32,796",25.3
2006,48375,"$32,697",24.2
2005,48375,"$30,316",21.1
2004,48375,"$30,294",21.2
2003,48375,"$29,811",20.8
2002,48375,"$29,200",20.9
2001,48375,"$29,298",20.7
2000,48375,"$30,084",20
1999,48375,"$28,770",19.6
1998,48375,"$29,171",19.3
1997,48375,"$27,848",20.5
1996,48375,NA,NA
1995,48375,"$26,682",21.6
1993,48375,"$22,948",23.7
1989,48375,"$20,609",20.4
2015,48377,"$33,218",22.4
2014,48377,"$34,258",21.8
2013,48377,"$32,766",23.3
2012,48377,"$32,861",21.7
2011,48377,"$31,297",23.7
2010,48377,"$30,357",23.6
2009,48377,"$28,636",23.6
2008,48377,"$27,490",21.3
2007,48377,"$27,251",24.4
2006,48377,"$24,520",26.8
2005,48377,"$23,452",31.3
2004,48377,"$24,915",26.4
2003,48377,"$24,321",27.6
2002,48377,"$20,396",25
2001,48377,"$20,320",27.6
2000,48377,"$21,023",30.8
1999,48377,"$19,758",36.2
1998,48377,"$18,390",32.9
1997,48377,"$17,753",35.6
1996,48377,NA,NA
1995,48377,"$16,877",41.1
1993,48377,"$13,920",37.6
1989,48377,"$12,399",39.8
2015,48379,"$46,698",14.4
2014,48379,"$47,834",14.9
2013,48379,"$42,183",18
2012,48379,"$41,349",17.1
2011,48379,"$40,595",17
2010,48379,"$40,966",16.7
2009,48379,"$42,000",15.8
2008,48379,"$41,233",15.6
2007,48379,"$40,101",15.6
2006,48379,"$38,728",15.2
2005,48379,"$36,398",16.2
2004,48379,"$34,761",14.4
2003,48379,"$33,384",14.3
2002,48379,"$32,593",16.4
2001,48379,"$33,342",15.8
2000,48379,"$33,955",15.4
1999,48379,"$32,312",14.6
1998,48379,"$29,271",14.4
1997,48379,"$28,152",14.3
1996,48379,NA,NA
1995,48379,"$26,372",14.6
1993,48379,"$24,142",14
1989,48379,"$20,685",12.2
2015,48381,"$62,080",8.5
2014,48381,"$64,636",9.7
2013,48381,"$60,439",11
2012,48381,"$56,716",11.3
2011,48381,"$57,402",9.9
2010,48381,"$57,862",8.7
2009,48381,"$54,323",8.9
2008,48381,"$57,221",7.8
2007,48381,"$53,213",9
2006,48381,"$51,476",9.2
2005,48381,"$47,356",8.2
2004,48381,"$47,377",8
2003,48381,"$45,881",8.5
2002,48381,"$45,321",8
2001,48381,"$45,051",8.2
2000,48381,"$45,708",7.7
1999,48381,"$44,235",8
1998,48381,"$46,950",7.8
1997,48381,"$44,405",8.5
1996,48381,NA,NA
1995,48381,"$40,482",7.9
1993,48381,"$38,442",8.6
1989,48381,"$33,506",5.7
2015,48383,"$65,948",8.8
2014,48383,"$62,376",11.2
2013,48383,"$61,724",9.9
2012,48383,"$56,680",9.4
2011,48383,"$47,493",9.9
2010,48383,"$48,667",11.7
2009,48383,"$54,309",9.5
2008,48383,"$53,698",9
2007,48383,"$49,684",9.6
2006,48383,"$44,886",12.1
2005,48383,"$40,234",13.5
2004,48383,"$41,157",12.9
2003,48383,"$38,929",12.7
2002,48383,"$36,170",13.1
2001,48383,"$35,553",12
2000,48383,"$35,045",14.1
1999,48383,"$32,454",14.6
1998,48383,"$34,710",13.8
1997,48383,"$36,158",12.9
1996,48383,NA,NA
1995,48383,"$34,078",12.8
1993,48383,"$33,384",14
