"sex","age","year","stateFips","pop.old","pop.new","diff","percent.change"
1,35,2005,"01",147928,148720,792,0.535395597858418
1,35,2005,"02",24355,24084,271,1.11270786286184
1,35,2005,"04",208569,200928,7641,3.66353580829366
1,35,2005,"05",89525,89319,206,0.230103323094108
1,35,2005,"06",1402722,1360247,42475,3.02804119419243
1,35,2005,"08",177962,173791,4171,2.34375877996426
1,35,2005,"09",127974,125950,2024,1.58157125666151
1,35,2005,"10",29819,29218,601,2.01549347731312
1,35,2005,"11",21760,21717,43,0.197610294117647
1,35,2005,"12",613952,602707,11245,1.83157640988221
1,35,2005,"13",351055,337941,13114,3.73559698622723
1,35,2005,"15",44211,44271,60,0.135712831648232
1,35,2005,"16",46416,45848,568,1.22371596001379
1,35,2005,"17",456799,447535,9264,2.02802545539723
1,35,2005,"18",213462,213152,310,0.145224911225417
1,35,2005,"19",95637,94210,1427,1.4921003377354
1,35,2005,"20",89427,88053,1374,1.53644872353987
1,35,2005,"21",143780,145311,1531,1.06482125469467
1,35,2005,"22",143844,148048,4204,2.92261060593421
1,35,2005,"23",44625,44513,112,0.250980392156863
1,35,2005,"24",203049,201138,1911,0.941152135691385
1,35,2005,"25",237281,232460,4821,2.03176824103068
1,35,2005,"26",351824,346309,5515,1.56754513620447
1,35,2005,"27",181014,179463,1551,0.85683980244622
1,35,2005,"28",91029,91951,922,1.01286403234134
1,35,2005,"29",190845,189343,1502,0.787026120673845
1,35,2005,"30",27032,27151,119,0.440218999704054
1,35,2005,"31",56865,56547,318,0.559219203376418
1,35,2005,"32",95258,94793,465,0.488147977072792
1,35,2005,"33",47602,47306,296,0.621822612495273
1,35,2005,"34",332270,320943,11327,3.40897462906672
1,35,2005,"35",60427,60074,353,0.584175947837887
1,35,2005,"36",700612,688638,11974,1.70907720678493
1,35,2005,"37",319445,315965,3480,1.08938940975755
1,35,2005,"38",19015,19085,70,0.368130423349987
1,35,2005,"39",385508,385881,373,0.096755449951752
1,35,2005,"40",111863,111834,29,0.0259245684453304
1,35,2005,"41",126049,124535,1514,1.20112019928758
1,35,2005,"42",416640,414481,2159,0.518193164362519
1,35,2005,"44",37979,37176,803,2.11432633823955
1,35,2005,"45",143022,143391,369,0.258002265385745
1,35,2005,"46",23525,23511,14,0.0595111583421892
1,35,2005,"47",208734,208715,19,0.00910249408337885
1,35,2005,"48",834495,814427,20068,2.40480769806889
1,35,2005,"49",77488,76158,1330,1.71639479661367
1,35,2005,"50",20540,20356,184,0.895813047711782
1,35,2005,"51",282736,276113,6623,2.3424678852357
1,35,2005,"53",231375,227621,3754,1.62247433819557
1,35,2005,"54",57954,58594,640,1.10432411912896
1,35,2005,"55",192727,191855,872,0.452453470453024
1,35,2005,"56",15739,15656,83,0.527352436622403
1,40,2005,"01",165520,165646,126,0.0761237312711455
1,40,2005,"02",27390,27518,128,0.467323840817817
1,40,2005,"04",214321,208161,6160,2.87419338282296
1,40,2005,"05",99078,99819,741,0.747895597408103
1,40,2005,"06",1417335,1390433,26902,1.89806926379437
1,40,2005,"08",187086,183190,3896,2.08246474883209
1,40,2005,"09",144245,143063,1182,0.819439148670664
1,40,2005,"10",31715,31818,103,0.324767460192338
1,40,2005,"11",21068,20388,680,3.22764382001139
1,40,2005,"12",680299,677668,2631,0.386741712100121
1,40,2005,"13",361808,350392,11416,3.1552646707646
1,40,2005,"15",46104,47207,1103,2.39241714384869
1,40,2005,"16",50431,49652,779,1.54468481687851
1,40,2005,"17",485562,476681,8881,1.8290146263505
1,40,2005,"18",236818,236606,212,0.089520222280401
1,40,2005,"19",108968,108092,876,0.803905733793407
1,40,2005,"20",101889,100628,1261,1.23762133301927
1,40,2005,"21",157904,158100,196,0.124126051271659
1,40,2005,"22",160186,164056,3870,2.4159414680434
1,40,2005,"23",52663,52530,133,0.252549228110818
1,40,2005,"24",225546,224854,692,0.306811027462247
1,40,2005,"25",259783,256177,3606,1.38808159117417
1,40,2005,"26",387658,383162,4496,1.15978517146557
1,40,2005,"27",208295,206159,2136,1.02546868623827
1,40,2005,"28",101123,102103,980,0.969116818132373
1,40,2005,"29",220317,218984,1333,0.605037287181652
1,40,2005,"30",33646,33860,214,0.636034001069964
1,40,2005,"31",64067,63849,218,0.340268781119765
1,40,2005,"32",96035,96985,950,0.98922267923153
1,40,2005,"33",56529,55934,595,1.05255709458862
1,40,2005,"34",363109,355333,7776,2.1415057186685
1,40,2005,"35",68850,69574,724,1.05156136528686
1,40,2005,"36",748115,737220,10895,1.45632690161272
1,40,2005,"37",331960,330044,1916,0.577177973249789
1,40,2005,"38",22481,22886,405,1.80152128464036
1,40,2005,"39",430214,427944,2270,0.527644381633327
1,40,2005,"40",126886,127585,699,0.550888198855666
1,40,2005,"41",132281,130095,2186,1.65254269320613
1,40,2005,"42",471358,469872,1486,0.315259314576182
1,40,2005,"44",41741,41309,432,1.03495364270142
1,40,2005,"45",155647,156512,865,0.555744730062256
1,40,2005,"47",223581,224051,470,0.210214642568018
1,40,2005,"48",864641,854464,10177,1.17702028934552
1,40,2005,"49",77269,75881,1388,1.79632194023476
1,40,2005,"50",24731,24514,217,0.877441268044155
1,40,2005,"51",304758,299055,5703,1.87132085129841
1,40,2005,"53",246347,243229,3118,1.26569432548397
1,40,2005,"54",63555,64465,910,1.43183069782079
1,40,2005,"55",220216,219058,1158,0.525847349874669
1,40,2005,"56",17759,18143,384,2.16228391238245
1,45,2005,"01",166118,167466,1348,0.811471363729397
1,45,2005,"02",28852,29701,849,2.94260363233051
1,45,2005,"04",200343,196857,3486,1.74001587277819
1,45,2005,"05",97615,98217,602,0.616708497669416
1,45,2005,"06",1320235,1311232,9003,0.68192405139994
1,45,2005,"08",185717,184545,1172,0.631067699779772
1,45,2005,"09",141361,141486,125,0.0884260864028975
1,45,2005,"10",31280,31590,310,0.991048593350384
1,45,2005,"11",18774,18638,136,0.72440609353361
1,45,2005,"12",642060,646702,4642,0.722985390773448
1,45,2005,"13",334231,325141,9090,2.71967591276692
1,45,2005,"15",46180,47982,1802,3.90212213079255
1,45,2005,"16",51069,50520,549,1.07501615461435
1,45,2005,"17",477767,471149,6618,1.38519403809807
1,45,2005,"18",236734,236744,10,0.00422415031216471
1,45,2005,"19",113472,112096,1376,1.2126339537507
1,45,2005,"20",104280,103547,733,0.702915228231684
1,45,2005,"21",156263,157783,1520,0.972719069773395
1,45,2005,"22",164608,168822,4214,2.56002138413686
1,45,2005,"23",54459,54360,99,0.181788134192695
1,45,2005,"24",217822,217489,333,0.152877119850153
1,45,2005,"25",248674,246415,2259,0.908418250400122
1,45,2005,"26",394703,390734,3969,1.00556621054312
1,45,2005,"27",207449,204390,3059,1.47457929418797
1,45,2005,"28",102384,103059,675,0.659282700421941
1,45,2005,"29",218947,219046,99,0.045216422239172
1,45,2005,"30",37734,37834,100,0.265012985636296
1,45,2005,"31",66418,66435,17,0.02559547110723
1,45,2005,"32",88823,89730,907,1.02113191403128
1,45,2005,"33",56814,56476,338,0.594923786390678
1,45,2005,"34",344264,339997,4267,1.23945576650478
1,45,2005,"35",68583,70209,1626,2.37084991907616
1,45,2005,"36",723110,710764,12346,1.70734742985161
1,45,2005,"37",317054,317601,547,0.172525815791632
1,45,2005,"38",24659,25089,430,1.74378523054463
1,45,2005,"39",443995,443568,427,0.0961722541920517
1,45,2005,"40",127917,129462,1545,1.20781444217735
1,45,2005,"41",136388,134142,2246,1.64677244332346
1,45,2005,"42",487705,486918,787,0.161368040106212
